Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,asymmetric,0.31,0.31127047583601086
75% Corpus,4,asymmetric,0.61,0.32558412001210413
75% Corpus,4,asymmetric,0.9099999999999999,0.33904150435566155
75% Corpus,4,asymmetric,symmetric,0.31053434544270886
75% Corpus,5,0.01,0.01,0.2999587119728402
75% Corpus,5,0.01,0.31,0.2937463922639605
75% Corpus,5,0.01,0.61,0.28493577718637286
75% Corpus,5,0.01,0.9099999999999999,0.2982849016891147
75% Corpus,5,0.01,symmetric,0.28438102061636644
75% Corpus,5,0.31,0.01,0.3103161393321825
75% Corpus,5,0.31,0.31,0.29347755736159925
75% Corpus,5,0.31,0.61,0.279418384871223
75% Corpus,5,0.31,0.9099999999999999,0.3045690239793839
75% Corpus,5,0.31,symmetric,0.29267159438875134
75% Corpus,5,0.61,0.01,0.29267735841485915
75% Corpus,5,0.61,0.31,0.2900228481216205
75% Corpus,5,0.61,0.61,0.3088230082393338
75% Corpus,5,0.61,0.9099999999999999,0.3152511583058774
75% Corpus,5,0.61,symmetric,0.2972284508690799
75% Corpus,5,0.9099999999999999,0.01,0.29135011009072215
75% Corpus,5,0.9099999999999999,0.31,0.29196537360488073
75% Corpus,5,0.9099999999999999,0.61,0.30096625916908304
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.3140629770775546
75% Corpus,5,0.9099999999999999,symmetric,0.29051307177326996
75% Corpus,5,symmetric,0.01,0.30021487122320967
75% Corpus,5,symmetric,0.31,0.29347755736159925
75% Corpus,5,symmetric,0.61,0.2749298042691062
75% Corpus,5,symmetric,0.9099999999999999,0.2984958429547496
75% Corpus,5,symmetric,symmetric,0.2969498895471707
75% Corpus,5,asymmetric,0.01,0.3098302000116897
75% Corpus,5,asymmetric,0.31,0.29481612750243413
75% Corpus,5,asymmetric,0.61,0.2984392313093288
75% Corpus,5,asymmetric,0.9099999999999999,0.3071106456039999
75% Corpus,5,asymmetric,symmetric,0.28616946223903933
75% Corpus,6,0.01,0.01,0.2858023665745924
75% Corpus,6,0.01,0.31,0.3195741370562803
75% Corpus,6,0.01,0.61,0.319027588868418
75% Corpus,6,0.01,0.9099999999999999,0.369720973583009
75% Corpus,6,0.01,symmetric,0.31439671962806076
75% Corpus,6,0.31,0.01,0.31136195455555954
75% Corpus,6,0.31,0.31,0.32613256449558725
75% Corpus,6,0.31,0.61,0.3562030653525428
75% Corpus,6,0.31,0.9099999999999999,0.3882452979353954
75% Corpus,6,0.31,symmetric,0.31117746336042845
75% Corpus,6,0.61,0.01,0.304774768936188
75% Corpus,6,0.61,0.31,0.31832928479594585
75% Corpus,6,0.61,0.61,0.36680383689311097
75% Corpus,6,0.61,0.9099999999999999,0.3778091495582088
75% Corpus,6,0.61,symmetric,0.342407217661223
75% Corpus,6,0.9099999999999999,0.01,0.30229396341823894
75% Corpus,6,0.9099999999999999,0.31,0.3945844097958305
75% Corpus,6,0.9099999999999999,0.61,0.4399410095074591
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.4114994930748172
75% Corpus,6,0.9099999999999999,symmetric,0.3325982478407585
75% Corpus,6,symmetric,0.01,0.30724523590046704
75% Corpus,6,symmetric,0.31,0.31996834017682835
75% Corpus,6,symmetric,0.61,0.3625981633114616
75% Corpus,6,symmetric,0.9099999999999999,0.3711647091579739
75% Corpus,6,symmetric,symmetric,0.30432131254104317
75% Corpus,6,asymmetric,0.01,0.3034647969383939
75% Corpus,6,asymmetric,0.31,0.33202801267257476
75% Corpus,6,asymmetric,0.61,0.351379328822414
75% Corpus,6,asymmetric,0.9099999999999999,0.3396092651075424
75% Corpus,6,asymmetric,symmetric,0.32484564462203863
75% Corpus,7,0.01,0.01,0.32199266302636337
75% Corpus,7,0.01,0.31,0.30507084084665737
75% Corpus,7,0.01,0.61,0.34635614149810295
75% Corpus,7,0.01,0.9099999999999999,0.3274596189617648
75% Corpus,7,0.01,symmetric,0.28183353747473083
75% Corpus,7,0.31,0.01,0.311660431787538
75% Corpus,7,0.31,0.31,0.34367559127163394
75% Corpus,7,0.31,0.61,0.31201657610164885
75% Corpus,7,0.31,0.9099999999999999,0.318721831247426
75% Corpus,7,0.31,symmetric,0.3116767193384938
75% Corpus,7,0.61,0.01,0.3100920791018432
75% Corpus,7,0.61,0.31,0.3295286381854053
75% Corpus,7,0.61,0.61,0.3074739619059109
75% Corpus,7,0.61,0.9099999999999999,0.3409545932434938
75% Corpus,7,0.61,symmetric,0.2973199110925036
75% Corpus,7,0.9099999999999999,0.01,0.3298465910568836
75% Corpus,7,0.9099999999999999,0.31,0.3570531480147677
75% Corpus,7,0.9099999999999999,0.61,0.381843355546883
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.36788436844283084
75% Corpus,7,0.9099999999999999,symmetric,0.333054781222058
75% Corpus,7,symmetric,0.01,0.3071899128268289
75% Corpus,7,symmetric,0.31,0.34473847153981463
75% Corpus,7,symmetric,0.61,0.327076992463504
75% Corpus,7,symmetric,0.9099999999999999,0.3486068553187017
75% Corpus,7,symmetric,symmetric,0.29188476356648974
75% Corpus,7,asymmetric,0.01,0.33357881777512854
75% Corpus,7,asymmetric,0.31,0.3219347857117435
75% Corpus,7,asymmetric,0.61,0.3404694032698769
75% Corpus,7,asymmetric,0.9099999999999999,0.33334838724704513
75% Corpus,7,asymmetric,symmetric,0.2778419643623247
75% Corpus,8,0.01,0.01,0.28837823610501145
75% Corpus,8,0.01,0.31,0.3085811070720742
