Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.31,symmetric,0.3167720989929912
100% Corpus,9,0.61,0.01,0.2972306768784883
100% Corpus,9,0.61,0.31,0.3172193552558294
100% Corpus,9,0.61,0.61,0.30900961885470934
100% Corpus,9,0.61,0.9099999999999999,0.31524728762580895
100% Corpus,9,0.61,symmetric,0.3103210333761645
100% Corpus,9,0.9099999999999999,0.01,0.30086161641218373
100% Corpus,9,0.9099999999999999,0.31,0.31541904865878956
100% Corpus,9,0.9099999999999999,0.61,0.3061239587668012
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.3184579808583378
100% Corpus,9,0.9099999999999999,symmetric,0.31561929521237875
100% Corpus,9,symmetric,0.01,0.30097400937496643
100% Corpus,9,symmetric,0.31,0.3201453752669665
100% Corpus,9,symmetric,0.61,0.311992234153786
100% Corpus,9,symmetric,0.9099999999999999,0.3382274375933561
100% Corpus,9,symmetric,symmetric,0.3092127929804294
100% Corpus,9,asymmetric,0.01,0.292724631828717
100% Corpus,9,asymmetric,0.31,0.3102947691924287
100% Corpus,9,asymmetric,0.61,0.30764697720532364
100% Corpus,9,asymmetric,0.9099999999999999,0.30752020281073666
100% Corpus,9,asymmetric,symmetric,0.28661257077496427
100% Corpus,10,0.01,0.01,0.324338192339016
100% Corpus,10,0.01,0.31,0.3311183938924539
100% Corpus,10,0.01,0.61,0.3114688304223262
100% Corpus,10,0.01,0.9099999999999999,0.3794367294865628
100% Corpus,10,0.01,symmetric,0.3408818498638628
100% Corpus,10,0.31,0.01,0.31078665347632495
100% Corpus,10,0.31,0.31,0.3499009828749369
100% Corpus,10,0.31,0.61,0.3422380994610298
100% Corpus,10,0.31,0.9099999999999999,0.34147293229407555
100% Corpus,10,0.31,symmetric,0.3141346790622751
100% Corpus,10,0.61,0.01,0.2987633620783002
100% Corpus,10,0.61,0.31,0.3107250453100021
100% Corpus,10,0.61,0.61,0.4267033660951661
100% Corpus,10,0.61,0.9099999999999999,0.41427951340606484
100% Corpus,10,0.61,symmetric,0.30345965024619337
100% Corpus,10,0.9099999999999999,0.01,0.2958646536858361
100% Corpus,10,0.9099999999999999,0.31,0.3160659373835369
100% Corpus,10,0.9099999999999999,0.61,0.3528197471825209
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.34902438816796166
100% Corpus,10,0.9099999999999999,symmetric,0.2987683012617849
100% Corpus,10,symmetric,0.01,0.3211997108339794
100% Corpus,10,symmetric,0.31,0.32533658119351694
100% Corpus,10,symmetric,0.61,0.33929496152454847
100% Corpus,10,symmetric,0.9099999999999999,0.3570823587762241
100% Corpus,10,symmetric,symmetric,0.31057629328671826
100% Corpus,10,asymmetric,0.01,0.31344531807204845
100% Corpus,10,asymmetric,0.31,0.3140972024073104
100% Corpus,10,asymmetric,0.61,0.3488903091106736
100% Corpus,10,asymmetric,0.9099999999999999,0.36009026054738585
100% Corpus,10,asymmetric,symmetric,0.28827899307203675
