zone,dropoffCount,LocationID,borough
Westerleigh,391,251,Staten Island
Ocean Parkway South,386,178,Brooklyn
South Beach/Dongan Hills,385,214,Staten Island
Rockaway Park,336,201,Queens
New Dorp/Midland Beach,305,172,Staten Island
Arrochar/Fort Wadsworth,304,6,Staten Island
Highbridge Park,295,120,Manhattan
Port Richmond,287,187,Staten Island
Eltingville/Annadale/Prince's Bay,258,84,Staten Island
City Island,225,46,Bronx
Charleston/Tottenville,219,44,Staten Island
Inwood Hill Park,217,128,Manhattan
Pelham Bay Park,201,184,Bronx
Forest Park/Highland Park,192,96,Queens
Oakwood,186,176,Staten Island
Marine Park/Floyd Bennett Field,172,154,Brooklyn
Arden Heights,167,5,Staten Island
Rossville/Woodrow,166,204,Staten Island
Country Club,164,58,Bronx
Crotona Park,127,59,Bronx
Green-Wood Cemetery,88,111,Brooklyn
Breezy Point/Fort Tilden/Riis Beach,77,27,Queens
Astoria Park,58,8,Queens
Broad Channel,44,30,Queens
Willets Point,35,253,Queens
Freshkills Park,31,99,Staten Island
Saint Michaels Cemetery/Woodside,24,207,Queens
Great Kills Park,3,110,Staten Island
